Part Number,Part Name,Make/Buy,Planner,Buyer,CTLT,ABC Class,Ann Usage Pieces,Primary Supplier
27B2794X012,"RETAINER ~ 2 1/2,600,2 7/8PORT",Make,Planner 10,,47.38338269,D USE,33,
27B2794X022,"RETAINER  ~  2 1/2,600,2 7/8 PORT",Make,Planner 10,,47.74130383,D USE,2,
27B2795X012,"PLUG/RETAINER ~ 2 7/8PORT,1L5000,W/C-SEAL",Make,Planner 12,,59.81380244,B,20,
27B2795X022,"PLUG/RETAINER ~ 2 7/8PORT,1L7500,W/C-SEAL",Make,Planner 12,,61.26509478,C,6,
27B2795X042,"PLUG/RETAINER ~ 2 7/8PORT,1L7500,W/C-SEAL",Make,Planner 12,,57.81715209,D USE,2,
27B2795X062,"PLUG/RETAINER ~ 2 7/8PORT,1 1/2TVL,1L7500,C-SL",Make,Planner 12,,61.15007027,B,5,
27B2795X172,"PLUG/RETAINER ~ 2 7/8PORT,1L5000,W/C-SEAL",Make,Planner 12,,54.41231597,D E&O,,
27B2795X512,"PLUG/RETAINER ~ 2 7/8PORT,1L5000,W/C-SEAL",Make,Planner 12,,58.67413826,D NEW,6,
27B2795X522,"PLUG/RETAINER ~ 2 7/8PORT,1L5000,W/C-SEAL",Make,Planner 12,,58.63519767,D NEW,,
27B3080X012,"FLANGE,PACKING ~ 14 CL300,20 CL150 ENVIRO-SEAL",Make,Planner 4,,41.29880881,C,30,
27B3216F012,"SEAT RING ~ 3 CL1500,1 7/8PORT,HFSEAT",Make,Planner 4,,42.87482902,D E&O,,
27B3216X012,"SEAT RING  ~  3 CL1500,1 7/8PORT,HFSEAT",Make,Planner 4,,44.76532413,D USE,,
27B3216X252,"SEAT RING ~ 3 CL1500,1 7/8PORT,HFSEAT",Make,Planner 4,,47.20380171,D NEW,4,
27B3243X012,"FLANGE,ANTI-BLOWOUT ~ 18 CL300 8532/A31A ENVIRO-SEAL",Make,Planner 4,,22.21772464,C,49,
27B3644X012,"PLUG/STEM,EQ%  ~  3/8PORT,1/2TVL,5/16STEM,70%",Make,Planner 9,,80.57513874,D,,
27B3649X012,"PLUG/STEM,LINEAR  ~  9/16PORT,1/2TVL,5/16STEM,FULL",Make,Planner 9,,50.97933038,D,,
27B3649X022,"PLUG/STEM,LINEAR  ~  9/16PORT,1/2TVL,5/16STEM,FULL",Make,Planner 9,,142.3603721,D,,
27B3651X012,"PLUG/STEM,LINEAR  ~  9/16PORT,1/2TVL,5/16STEM,70%",Make,Planner 9,,51.74662554,D,,
27B3652X022,"PLUG/STEM,EQ% ~ 9/16PORT,1/2TVL,5/16STEM,40%",Make,Planner 12,,145.0958167,D E&O,,
27B3653X012,"PLUG/STEM,LINEAR  ~  9/16PORT,1/2TVL,5/16STEM,40%",Make,Planner 9,,52.00109092,D,,
27B3828X012,"FLANGE,PACKING ~ 14 CL150,16 CL150 ENVIRO-SEAL",Make,Planner 4,,19.2764894,C,32,
27B3829X012,"FLANGE,ANTI-BLOWOUT ~ 14 CL150,16 CL150 ENVIRO-SEAL",Make,Planner 4,,22.74356272,B,32,
27B3837X012,"FLANGE,PACKING ~ 18 CL150 8532/A31A ENVIRO-SEAL",Make,Planner 4,,40.73128144,D USE,2,
27B3842X012,"SUPPORT SLEEVE  ~  1 V150,V200,V300 FLAT METAL",Make,Planner 10,,43.71591525,D USE,,
